,variable_id,description,table_id(s)
731,rsdo,Downwelling Shortwave Radiation in Sea Water [W m-2],Omon
738,rsntds,Net Downward Shortwave Radiation at Sea Water Surface [W m-2],Omon
858,sltovgyre,Northward Ocean Salt Transport Due to Gyre [kg s-1],Omon
859,sltovovrt,Northward Ocean Salt Transport Due to Overturning [kg s-1],Omon
880,sob,Sea Water Salinity at Sea Floor [0.001],Omon
885,so,Sea Water Salinity [0.001],Omon
886,sosga,Global Average Sea Surface Salinity [0.001],Omon
922,thetao,Sea Water Potential Temperature [degC],Omon
953,tob,Sea Water Potential Temperature at Sea Floor [degC],Omon
984,umo,Ocean Mass X Transport [kg s-1],Omon
1005,vmo,Ocean Mass Y Transport [kg s-1],Omon
1011,vsfevap,Virtual Salt Flux into Sea Water Due to Evaporation [kg m-2 s-1],Omon
1012,vsfpr,Virtual Salt Flux into Sea Water Due to Rainfall [kg m-2 s-1],Omon
1013,vsfriver,Virtual Salt Flux into Sea Water from Rivers [kg m-2 s-1],Omon
1014,vsfsit,Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics [kg m-2 s-1],Omon
1015,vsf,Virtual Salt Flux into Sea Water [kg m-2 s-1],Omon
1040,wfonocorr,Water Flux into Sea Water Without Flux Correction [kg m-2 s-1],Omon
1042,wmo,Upward Ocean Mass Transport [kg s-1],Omon
1050,zfullo,Depth Below Geoid of Ocean Layer [m],Omon
1057,zhalfo,Depth Below Geoid of Interfaces Between Ocean Layers [m],Omon
1059,zmesoos,Surface Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water [mol m-3],Omon
1061,zmicroos,Surface Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water [mol m-3],Omon
1066,zos,Sea Surface Height Above Geoid [m],Omon
1067,zossq,Square of Sea Surface Height Above Geoid [m2],Omon
1068,zostoga,Global Average Thermosteric Sea Level Change [m],Omon
